"date","close","open","high","low","volume","change"
"2023-2-6","22.652","23.464","23.722","22.536","4.68M","-3.46%"
"2023-2-5","23.464","24.350","24.452","23.048","6.07M","-3.64%"
"2023-2-4","24.350","24.670","24.933","24.253","2.64M","-1.30%"
"2023-2-3","24.670","24.254","25.069","24.057","6.79M","1.72%"
"2023-2-2","24.254","25.007","26.130","24.157","10.40M","-2.93%"
"2023-2-1","24.986","23.923","25.190","22.540","10.57M","4.44%"
"2023-1-31","23.923","23.966","24.400","23.507","5.77M","-0.18%"
"2023-1-30","23.966","26.103","26.305","23.395","10.79M","-8.17%"
"2023-1-29","26.097","24.010","26.748","23.757","10.70M","8.67%"
"2023-1-28","24.016","24.424","25.117","23.783","4.72M","-1.66%"
"2023-1-27","24.420","24.349","24.917","23.441","7.30M","0.29%"
"2023-1-26","24.349","24.510","25.197","23.897","7.66M","-0.66%"
"2023-1-25","24.510","22.767","25.368","22.320","12.13M","7.66%"
"2023-1-24","22.767","24.316","25.170","22.452","8.78M","-6.37%"
"2023-1-23","24.316","24.222","24.884","23.901","9.47M","0.39%"
"2023-1-22","24.222","24.550","25.413","23.666","10.59M","-1.32%"
"2023-1-21","24.547","25.550","26.424","24.547","19.01M","-3.93%"
"2023-1-20","25.550","21.420","25.703","20.951","14.86M","19.28%"
"2023-1-19","21.420","20.849","21.836","20.440","9.27M","2.74%"
"2023-1-18","20.849","22.870","23.577","20.534","16.64M","-8.84%"
"2023-1-17","22.870","23.578","23.936","22.779","9.21M","-3.00%"
